source,target,Fisher_Z,avg_r
Frontal_Mid_R,Supp_Motor_Area_R,0.8397,0.6857
Frontal_Sup_L,Postcentral_L,0.8373,0.6844
Cuneus_L,Occipital_Sup_L,0.8371,0.6843
Cingulum_Mid_L,Parietal_Sup_L,0.8368,0.6841
Precentral_L,Cingulum_Post_L,0.8316,0.6813
Precentral_L,Parietal_Inf_L,0.8302,0.6806
Frontal_Mid_L,Supp_Motor_Area_R,0.8293,0.6801
Precentral_R,Cingulum_Post_L,0.8287,0.6798
Cuneus_R,Occipital_Sup_R,0.8277,0.6792
Frontal_Sup_Medial_L,Cingulum_Ant_L,0.8257,0.6782
Parietal_Sup_L,Paracentral_Lobule_R,0.8254,0.678
Insula_R,Putamen_L,0.8222,0.6763
Cingulum_Mid_R,Parietal_Inf_L,0.8219,0.6761
Parietal_Inf_L,Angular_L,0.8218,0.6761
Frontal_Sup_Medial_L,Cingulum_Mid_R,0.8148,0.6722
Cingulum_Mid_R,Parietal_Sup_L,0.8127,0.6711
Frontal_Mid_R,Postcentral_R,0.8124,0.6709
Precentral_R,Frontal_Sup_L,0.8124,0.6709
Precentral_R,Parietal_Inf_L,0.8122,0.6708
Postcentral_L,Parietal_Inf_R,0.8112,0.6703
Cingulum_Mid_L,Cingulum_Post_R,0.8108,0.67
Frontal_Sup_Medial_R,Cingulum_Mid_R,0.8091,0.6691
Frontal_Inf_Oper_R,Frontal_Sup_Medial_L,0.8083,0.6686
Frontal_Inf_Oper_L,Frontal_Inf_Tri_R,0.8083,0.6687
Cingulum_Post_L,Postcentral_L,0.8076,0.6683
Frontal_Inf_Oper_L,Insula_L,0.8063,0.6675
Parietal_Inf_L,SupraMarginal_L,0.8046,0.6666
Cingulum_Post_L,Parietal_Inf_L,0.8026,0.6655
Parietal_Sup_L,Paracentral_Lobule_L,0.8009,0.6645
Cuneus_L,Cuneus_R,0.7981,0.663
Frontal_Mid_L,Frontal_Sup_Medial_L,0.7979,0.6628
Frontal_Inf_Oper_R,Frontal_Sup_Medial_R,0.7954,0.6615
Frontal_Mid_L,Frontal_Sup_Medial_R,0.7944,0.6609
Frontal_Sup_R,Postcentral_L,0.7936,0.6605
Frontal_Sup_Medial_R,Cingulum_Ant_L,0.7929,0.6601
Supp_Motor_Area_R,Frontal_Sup_Medial_R,0.7908,0.6589
Calcarine_R,Lingual_R,0.7901,0.6584
Supp_Motor_Area_R,Frontal_Sup_Medial_L,0.7875,0.657
SupraMarginal_R,Angular_R,0.783,0.6544
Supp_Motor_Area_L,Frontal_Sup_Medial_R,0.7828,0.6543
Precentral_R,Parietal_Inf_R,0.7821,0.6539
Frontal_Mid_R,Frontal_Inf_Tri_R,0.7808,0.6532
Precentral_L,Cingulum_Post_R,0.7797,0.6525
Frontal_Sup_Medial_L,Cingulum_Mid_L,0.7793,0.6523
Cingulum_Post_L,Postcentral_R,0.779,0.6521
Cingulum_Post_L,Parietal_Sup_L,0.7777,0.6514
Precentral_L,Frontal_Sup_Medial_L,0.7776,0.6513
Precentral_R,Cingulum_Post_R,0.7774,0.6512
Precentral_R,Frontal_Sup_Medial_R,0.7746,0.6496
Cingulum_Post_R,Postcentral_L,0.7741,0.6493
Frontal_Inf_Oper_L,Postcentral_L,0.7738,0.6491
Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,0.7734,0.6489
Frontal_Inf_Oper_R,Postcentral_L,0.769,0.6464
Putamen_L,Putamen_R,0.7675,0.6455
Precentral_R,Parietal_Sup_L,0.7651,0.6441
Cingulum_Mid_R,Parietal_Inf_R,0.7642,0.6436
Postcentral_L,Parietal_Sup_R,0.7623,0.6424
Frontal_Sup_Medial_R,Cingulum_Mid_L,0.7621,0.6423
Frontal_Inf_Oper_L,Frontal_Sup_Medial_L,0.7616,0.642
Heschl_L,Temporal_Sup_L,0.7615,0.6419
Cingulum_Mid_L,Parietal_Inf_R,0.7611,0.6417
Frontal_Mid_L,Frontal_Inf_Tri_L,0.7596,0.6408
Precentral_L,Paracentral_Lobule_L,0.7593,0.6407
Parietal_Sup_R,Angular_R,0.7589,0.6404
Parietal_Sup_R,Paracentral_Lobule_R,0.7574,0.6396
Frontal_Sup_Medial_L,Cingulum_Ant_R,0.7567,0.6391
Angular_R,Precuneus_R,0.7566,0.6391
Frontal_Inf_Oper_R,Insula_L,0.7561,0.6387
Precentral_R,Frontal_Sup_Medial_L,0.755,0.6381
Precentral_L,Frontal_Sup_Medial_R,0.7457,0.6326
Precentral_L,Parietal_Sup_L,0.7454,0.6324
Postcentral_L,SupraMarginal_L,0.7446,0.6319
Frontal_Sup_R,Precuneus_L,0.7441,0.6316
Cingulum_Mid_R,Parietal_Sup_R,0.7437,0.6314
Parietal_Inf_L,Paracentral_Lobule_L,0.7419,0.6303
Precentral_L,Frontal_Inf_Tri_L,0.7406,0.6295
Supp_Motor_Area_L,Parietal_Inf_L,0.74,0.6291
Cingulum_Mid_L,Parietal_Sup_R,0.7392,0.6287
Insula_L,Putamen_R,0.739,0.6285
Supp_Motor_Area_L,Cingulum_Post_L,0.7383,0.6281
Frontal_Inf_Oper_R,Cingulum_Mid_R,0.7377,0.6277
Lingual_L,Lingual_R,0.7377,0.6277
Frontal_Sup_Medial_L,Postcentral_L,0.7377,0.6277
Supp_Motor_Area_R,Parietal_Sup_L,0.7372,0.6275
SupraMarginal_R,Precuneus_R,0.7369,0.6272
Supp_Motor_Area_R,Cingulum_Post_L,0.7364,0.6269
Frontal_Mid_L,Frontal_Inf_Oper_R,0.7351,0.6262
Precentral_R,Frontal_Inf_Tri_R,0.7345,0.6258
Frontal_Inf_Oper_R,Postcentral_R,0.7317,0.6241
Frontal_Sup_L,Postcentral_R,0.7314,0.6239
Frontal_Inf_Oper_R,Cingulum_Mid_L,0.7311,0.6238
SupraMarginal_R,Precuneus_L,0.7309,0.6236
Calcarine_L,Cuneus_L,0.7308,0.6235
Frontal_Sup_R,Precuneus_R,0.7306,0.6234
Parietal_Inf_L,Paracentral_Lobule_R,0.728,0.6219
Precentral_L,Paracentral_Lobule_R,0.7263,0.6208
Precentral_R,Frontal_Inf_Oper_L,0.7261,0.6207
Frontal_Sup_L,Precuneus_L,0.7254,0.6202
Frontal_Mid_L,Postcentral_R,0.7251,0.6201
Frontal_Mid_R,Cingulum_Post_L,0.7244,0.6196
Cingulum_Post_R,Postcentral_R,0.7243,0.6196
Calcarine_L,Lingual_L,0.7232,0.6189
Frontal_Inf_Tri_R,Frontal_Sup_Medial_L,0.7215,0.6178
Cerebelum_4_5_L,Vermis_4_5,0.7206,0.6173
Frontal_Mid_R,Precuneus_L,0.7203,0.6171
Postcentral_L,SupraMarginal_R,0.7178,0.6155
Precentral_R,Parietal_Sup_R,0.7168,0.6149
Angular_R,Precuneus_L,0.7166,0.6148
Lingual_R,Vermis_4_5,0.7159,0.6144
Occipital_Sup_L,Occipital_Mid_L,0.7136,0.6129
Frontal_Inf_Tri_L,Frontal_Sup_Medial_L,0.7132,0.6127
Frontal_Mid_R,Precuneus_R,0.7131,0.6126
Frontal_Sup_L,Paracentral_Lobule_L,0.713,0.6126
Parietal_Sup_R,SupraMarginal_R,0.7114,0.6115
Supp_Motor_Area_R,Parietal_Inf_L,0.711,0.6113
Insula_L,Cingulum_Ant_L,0.711,0.6113
Rolandic_Oper_L,Temporal_Sup_L,0.71,0.6107
Supp_Motor_Area_L,Cingulum_Post_R,0.7093,0.6103
Frontal_Mid_R,Frontal_Inf_Tri_L,0.7082,0.6096
Frontal_Inf_Tri_R,Frontal_Sup_Medial_R,0.708,0.6094
Frontal_Inf_Tri_L,Insula_L,0.7073,0.609
Supp_Motor_Area_L,Parietal_Sup_L,0.7066,0.6086
Parietal_Inf_R,Paracentral_Lobule_R,0.7063,0.6083
Frontal_Mid_R,Frontal_Inf_Oper_L,0.7049,0.6075
Frontal_Inf_Oper_R,Insula_R,0.7037,0.6067
Frontal_Sup_L,Precuneus_R,0.7035,0.6066
Precentral_L,Frontal_Inf_Tri_R,0.7033,0.6065
Precentral_R,SupraMarginal_R,0.7024,0.6059
Frontal_Sup_R,Paracentral_Lobule_L,0.7023,0.6058
Frontal_Sup_R,Cingulum_Post_L,0.7022,0.6058
Frontal_Mid_L,Frontal_Inf_Oper_L,0.7017,0.6055
Supp_Motor_Area_R,Cingulum_Post_R,0.7014,0.6053
Frontal_Sup_L,Cingulum_Post_L,0.7009,0.605
Parietal_Sup_R,Paracentral_Lobule_L,0.6999,0.6043
Cingulum_Post_L,Parietal_Inf_R,0.6992,0.6039
Frontal_Sup_Medial_R,Postcentral_R,0.6986,0.6035
Cingulum_Post_L,Parietal_Sup_R,0.6963,0.602
Hippocampus_L,ParaHippocampal_L,0.6957,0.6016
Rolandic_Oper_L,Insula_R,0.6957,0.6016
Frontal_Mid_L,Precuneus_R,0.6937,0.6003
Frontal_Inf_Oper_R,Cingulum_Post_L,0.6922,0.5994
Frontal_Mid_L,Precuneus_L,0.6911,0.5987
Caudate_R,Putamen_R,0.6902,0.5981
Frontal_Med_Orb_L,Frontal_Med_Orb_R,0.6889,0.5973
Insula_L,Cingulum_Ant_R,0.6882,0.5968
Precentral_L,Parietal_Inf_R,0.6872,0.5962
Frontal_Mid_L,Cingulum_Post_L,0.6865,0.5958
Cingulum_Post_R,Parietal_Inf_L,0.686,0.5954
Rolandic_Oper_L,Putamen_L,0.6851,0.5948
Angular_L,Precuneus_R,0.6848,0.5946
Frontal_Sup_Medial_R,Insula_L,0.6833,0.5936
Frontal_Inf_Oper_L,Frontal_Sup_Medial_R,0.6831,0.5936
Frontal_Sup_R,Paracentral_Lobule_R,0.6822,0.5929
Parietal_Sup_L,Angular_L,0.6819,0.5928
Cingulum_Post_R,Parietal_Sup_L,0.681,0.5922
Supp_Motor_Area_R,Parietal_Inf_R,0.6805,0.5918
Frontal_Sup_Medial_R,Postcentral_L,0.6761,0.589
Frontal_Sup_R,Cingulum_Post_R,0.6743,0.5878
Parietal_Inf_R,Paracentral_Lobule_L,0.6742,0.5877
Frontal_Sup_Medial_L,Insula_L,0.6738,0.5875
Supp_Motor_Area_L,Parietal_Inf_R,0.6731,0.587
Supp_Motor_Area_R,Parietal_Sup_R,0.6717,0.5861
Frontal_Sup_Orb_L,Frontal_Med_Orb_L,0.6716,0.586
Frontal_Sup_Medial_L,Cingulum_Post_R,0.6713,0.5858
Insula_R,Cingulum_Ant_L,0.6699,0.5849
Frontal_Inf_Oper_R,Cingulum_Post_R,0.6688,0.5842
Parietal_Inf_L,SupraMarginal_R,0.6686,0.584
Putamen_L,Pallidum_L,0.6682,0.5838
Frontal_Sup_Orb_L,Frontal_Mid_Orb_L,0.6657,0.5822
Insula_L,Postcentral_L,0.6644,0.5813
Frontal_Sup_Medial_L,Cingulum_Post_L,0.6636,0.5808
Frontal_Mid_R,Cingulum_Post_R,0.663,0.5804
Frontal_Sup_L,Cingulum_Post_R,0.6625,0.58
Cingulum_Mid_R,SupraMarginal_R,0.6624,0.5799
Frontal_Inf_Oper_R,Supp_Motor_Area_L,0.6613,0.5792
Frontal_Mid_R,Parietal_Inf_L,0.6601,0.5785
Frontal_Sup_Medial_L,Postcentral_R,0.6595,0.578
Supp_Motor_Area_R,SupraMarginal_R,0.6582,0.5772
Rolandic_Oper_R,Insula_L,0.657,0.5763
Parietal_Sup_L,Angular_R,0.6561,0.5758
Cingulum_Post_L,Paracentral_Lobule_R,0.6556,0.5754
Frontal_Mid_L,Frontal_Inf_Tri_R,0.6552,0.5751
Rolandic_Oper_L,SupraMarginal_L,0.6543,0.5746
Insula_R,Cingulum_Ant_R,0.6538,0.5742
Precentral_L,Parietal_Sup_R,0.6534,0.574
Insula_L,Caudate_R,0.6521,0.5731
Frontal_Mid_L,Parietal_Inf_L,0.6511,0.5724
Frontal_Inf_Tri_L,Postcentral_L,0.6499,0.5716
Rolandic_Oper_L,Postcentral_L,0.6496,0.5714
Caudate_L,Putamen_L,0.6485,0.5707
Lingual_L,Cerebelum_4_5_L,0.6474,0.5699
Calcarine_R,Lingual_L,0.647,0.5697
Cingulum_Post_L,Paracentral_Lobule_L,0.6459,0.5689
Frontal_Sup_L,Parietal_Inf_L,0.6442,0.5678
Frontal_Sup_R,Parietal_Sup_L,0.6438,0.5675
Frontal_Inf_Oper_R,Caudate_L,0.6419,0.5662
Frontal_Inf_Oper_R,Supp_Motor_Area_R,0.6409,0.5655
Hippocampus_L,Thalamus_L,0.6409,0.5655
Insula_L,Caudate_L,0.6406,0.5653
Hippocampus_R,ParaHippocampal_R,0.6399,0.5648
Cingulum_Post_L,Angular_L,0.6399,0.5649
Cingulum_Post_L,SupraMarginal_R,0.6398,0.5648
Cingulum_Post_R,Parietal_Inf_R,0.6394,0.5645
Angular_L,Precuneus_L,0.6394,0.5645
Frontal_Mid_L,Cingulum_Post_R,0.6393,0.5644
Heschl_R,Temporal_Sup_R,0.6387,0.564
Cingulum_Mid_L,SupraMarginal_R,0.6371,0.5629
Frontal_Sup_L,Paracentral_Lobule_R,0.6371,0.5629
Cuneus_R,Occipital_Sup_L,0.637,0.5629
Frontal_Sup_Medial_R,Cingulum_Post_L,0.6365,0.5625
Frontal_Inf_Oper_R,Cingulum_Ant_L,0.6363,0.5624
Precentral_L,SupraMarginal_R,0.6354,0.5618
Frontal_Sup_Medial_L,Paracentral_Lobule_L,0.635,0.5615
Calcarine_R,Cuneus_R,0.6334,0.5604
Parietal_Sup_L,SupraMarginal_R,0.6304,0.5583
Cingulum_Mid_R,Caudate_L,0.63,0.558
Frontal_Mid_L,Paracentral_Lobule_L,0.6299,0.558
Supp_Motor_Area_L,Parietal_Sup_R,0.6295,0.5577
Frontal_Sup_L,Frontal_Inf_Oper_R,0.6295,0.5577
Cingulum_Post_R,Paracentral_Lobule_R,0.6293,0.5575
SupraMarginal_L,Angular_L,0.6293,0.5576
Rolandic_Oper_L,Rolandic_Oper_R,0.6289,0.5573
Frontal_Mid_R,Parietal_Inf_R,0.6285,0.557
Frontal_Sup_Medial_R,Insula_R,0.628,0.5567
Frontal_Inf_Oper_L,Cingulum_Post_L,0.6277,0.5565
Cingulum_Post_R,Paracentral_Lobule_L,0.627,0.556
Frontal_Sup_Medial_R,Paracentral_Lobule_L,0.6257,0.5551
Frontal_Sup_L,Parietal_Sup_L,0.6256,0.555
Frontal_Sup_Medial_L,Precuneus_L,0.6238,0.5538
Frontal_Sup_Medial_R,Cingulum_Post_R,0.6238,0.5538
Frontal_Inf_Tri_R,Insula_L,0.6233,0.5534
Caudate_L,Caudate_R,0.6225,0.5529
Supp_Motor_Area_L,SupraMarginal_R,0.6224,0.5528
Occipital_Mid_L,Angular_L,0.6217,0.5523
Frontal_Inf_Oper_R,Precuneus_R,0.619,0.5504
Rolandic_Oper_L,Heschl_L,0.6188,0.5503
Calcarine_R,Cuneus_L,0.6168,0.5489
Cingulum_Post_L,Cuneus_L,0.6166,0.5487
Precentral_R,Frontal_Inf_Tri_L,0.615,0.5476
Frontal_Inf_Oper_R,Cingulum_Ant_R,0.6143,0.5471
Frontal_Sup_R,Frontal_Inf_Oper_R,0.6121,0.5456
Cingulum_Mid_L,Caudate_L,0.612,0.5455
Frontal_Inf_Oper_L,Cingulum_Mid_R,0.6119,0.5454
Insula_R,Caudate_R,0.6116,0.5452
Frontal_Sup_R,Parietal_Inf_L,0.6113,0.5451
Frontal_Inf_Tri_L,Frontal_Sup_Medial_R,0.6102,0.5443
Frontal_Inf_Oper_R,Putamen_L,0.6101,0.5442
Occipital_Sup_R,Angular_R,0.6101,0.5442
Rolandic_Oper_R,Heschl_R,0.6095,0.5438
Frontal_Inf_Oper_L,Putamen_L,0.6089,0.5433
Frontal_Sup_Medial_L,Precuneus_R,0.6087,0.5432
Cingulum_Post_R,Parietal_Sup_R,0.6082,0.5429
Frontal_Sup_R,SupraMarginal_R,0.6079,0.5426
Frontal_Inf_Oper_L,Cingulum_Post_R,0.6067,0.5418
Frontal_Inf_Tri_R,Postcentral_L,0.6063,0.5415
Frontal_Inf_Oper_L,Supp_Motor_Area_L,0.6059,0.5412
SupraMarginal_R,Paracentral_Lobule_R,0.6059,0.5413
Frontal_Sup_R,Parietal_Inf_R,0.6057,0.5411
Frontal_Inf_Tri_R,Cingulum_Mid_R,0.6048,0.5405
Insula_R,SupraMarginal_R,0.6048,0.5405
Frontal_Inf_Tri_R,Caudate_L,0.6047,0.5404
Postcentral_R,Angular_R,0.604,0.5399
Temporal_Sup_L,Temporal_Mid_L,0.604,0.5399
Cuneus_L,Precuneus_R,0.6035,0.5396
Frontal_Inf_Oper_L,Cingulum_Mid_L,0.6029,0.5391
Frontal_Mid_R,Parietal_Sup_L,0.6024,0.5388
Rolandic_Oper_R,SupraMarginal_R,0.602,0.5384
Postcentral_R,SupraMarginal_L,0.6017,0.5382
Cingulum_Post_R,SupraMarginal_R,0.601,0.5378
Cingulum_Post_L,Thalamus_L,0.6003,0.5373
Cingulum_Post_L,Calcarine_R,0.6002,0.5372
Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,0.5999,0.537
Frontal_Sup_Medial_R,Precuneus_L,0.5998,0.5369
Frontal_Mid_R,SupraMarginal_R,0.5992,0.5365
Frontal_Mid_R,Paracentral_Lobule_R,0.5969,0.5348
SupraMarginal_L,Temporal_Sup_L,0.5968,0.5348
Lingual_L,Vermis_4_5,0.5967,0.5347
SupraMarginal_R,Temporal_Sup_R,0.5956,0.5339
Frontal_Inf_Oper_R,Precuneus_L,0.595,0.5335
Frontal_Sup_R,Parietal_Sup_R,0.5942,0.5329
Frontal_Mid_R,Paracentral_Lobule_L,0.5933,0.5322
Lingual_R,Cerebelum_4_5_R,0.5931,0.5321
Frontal_Inf_Oper_L,Rolandic_Oper_L,0.5928,0.5319
Cingulum_Ant_L,Putamen_L,0.5918,0.5312
Frontal_Mid_L,Parietal_Sup_L,0.5913,0.5308
Frontal_Inf_Oper_L,Caudate_L,0.5904,0.5302
Cuneus_L,Occipital_Sup_R,0.5902,0.5301
Parietal_Inf_L,Angular_R,0.5898,0.5298
Frontal_Sup_Medial_R,Precuneus_R,0.5893,0.5294
Frontal_Sup_Medial_R,Paracentral_Lobule_R,0.5891,0.5292
Precentral_R,Caudate_L,0.5889,0.5291
Frontal_Sup_L,Frontal_Inf_Tri_L,0.5883,0.5287
Cingulum_Post_L,Angular_R,0.5883,0.5287
Postcentral_L,Caudate_L,0.5879,0.5284
Frontal_Inf_Oper_L,Parietal_Inf_L,0.5876,0.5282
Cuneus_L,Precuneus_L,0.5866,0.5275
