source,target,Fisher_Z
Frontal_Sup_L,Supp_Motor_Area_R,0.9661
Cingulum_Post_R,Precuneus_R,0.9636
Postcentral_L,Precuneus_R,0.9625
Cingulum_Mid_R,Postcentral_L,0.9586
Precentral_L,Cingulum_Mid_R,0.958
Cingulum_Mid_L,Paracentral_Lobule_R,0.952
Frontal_Sup_R,Cingulum_Mid_R,0.9487
Postcentral_R,Parietal_Sup_R,0.9464
Frontal_Mid_R,Cingulum_Mid_R,0.9448
Cingulum_Mid_R,Paracentral_Lobule_R,0.9424
Cingulum_Mid_R,Cingulum_Post_L,0.9411
Insula_L,Insula_R,0.9394
Postcentral_R,Parietal_Sup_L,0.9393
Parietal_Inf_R,Precuneus_L,0.9387
Postcentral_L,Parietal_Sup_L,0.9364
Precuneus_R,Paracentral_Lobule_R,0.9363
Supp_Motor_Area_R,Postcentral_L,0.9354
Cingulum_Mid_L,Paracentral_Lobule_L,0.9343
Frontal_Sup_R,Frontal_Sup_Medial_L,0.9324
Frontal_Mid_L,Supp_Motor_Area_L,0.9322
Precentral_L,Frontal_Sup_L,0.9321
Cingulum_Mid_L,Cingulum_Post_L,0.9321
Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,0.9275
Precuneus_L,Paracentral_Lobule_L,0.9268
Postcentral_R,SupraMarginal_R,0.9257
Postcentral_R,Parietal_Inf_L,0.9163
Parietal_Inf_R,Precuneus_R,0.9161
Precentral_L,Supp_Motor_Area_R,0.9138
Frontal_Mid_R,Cingulum_Mid_L,0.9113
Frontal_Sup_L,Frontal_Sup_Medial_R,0.9096
Postcentral_L,Paracentral_Lobule_R,0.9086
Frontal_Mid_L,Cingulum_Mid_L,0.9082
Supp_Motor_Area_L,Postcentral_R,0.9069
Precentral_R,Frontal_Mid_L,0.9068
Rolandic_Oper_R,Insula_R,0.9068
Precentral_R,Precuneus_R,0.9062
Parietal_Sup_L,Parietal_Inf_R,0.9058
Frontal_Sup_L,Cingulum_Mid_R,0.9041
Insula_R,Putamen_R,0.8987
Frontal_Sup_L,Cingulum_Mid_L,0.8981
Precentral_L,Frontal_Inf_Oper_L,0.8971
Precentral_L,Postcentral_R,0.8967
Frontal_Mid_R,Supp_Motor_Area_L,0.8958
Precentral_R,Precuneus_L,0.8957
Cingulum_Mid_R,Cingulum_Post_R,0.8955
Frontal_Sup_R,Cingulum_Mid_L,0.8896
Frontal_Mid_R,Frontal_Sup_Medial_L,0.8895
Supp_Motor_Area_R,Precuneus_L,0.8894
Precentral_R,Frontal_Sup_R,0.8856
Frontal_Mid_L,Cingulum_Mid_R,0.8795
Parietal_Inf_L,Parietal_Inf_R,0.8774
Cingulum_Post_R,Precuneus_L,0.8767
Supp_Motor_Area_R,Precuneus_R,0.8764
Precentral_L,Frontal_Inf_Oper_R,0.8737
Frontal_Mid_L,Postcentral_L,0.8731
Frontal_Mid_R,Frontal_Sup_Medial_R,0.8731
Precentral_R,Paracentral_Lobule_L,0.8709
Cingulum_Mid_L,Parietal_Inf_L,0.8705
Precentral_L,Frontal_Sup_R,0.8676
Precentral_R,Paracentral_Lobule_R,0.8636
Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,0.8624
Precentral_L,Precuneus_L,0.8603
Cingulum_Mid_R,Paracentral_Lobule_L,0.8597
Supp_Motor_Area_L,Paracentral_Lobule_R,0.8586
Supp_Motor_Area_L,Frontal_Sup_Medial_L,0.852
Frontal_Sup_Medial_R,Cingulum_Ant_R,0.8506
Precentral_L,Precuneus_R,0.8499
Parietal_Sup_R,Parietal_Inf_L,0.8497
Frontal_Mid_R,Frontal_Inf_Oper_R,0.8492
Supp_Motor_Area_L,Precuneus_L,0.8457
Parietal_Inf_R,Angular_R,0.8453
Frontal_Sup_R,Postcentral_R,0.843
Frontal_Mid_R,Postcentral_L,0.842
Precuneus_R,Paracentral_Lobule_L,0.8416
Supp_Motor_Area_L,Precuneus_R,0.841
Calcarine_L,Calcarine_R,0.8403
Frontal_Mid_R,Supp_Motor_Area_R,0.8397
Frontal_Sup_L,Postcentral_L,0.8373
Cuneus_L,Occipital_Sup_L,0.8371
Cingulum_Mid_L,Parietal_Sup_L,0.8368
Precentral_L,Cingulum_Post_L,0.8316
Precentral_L,Parietal_Inf_L,0.8302
Frontal_Mid_L,Supp_Motor_Area_R,0.8293
Precentral_R,Cingulum_Post_L,0.8287
Cuneus_R,Occipital_Sup_R,0.8277
Frontal_Sup_Medial_L,Cingulum_Ant_L,0.8257
Parietal_Sup_L,Paracentral_Lobule_R,0.8254
Insula_R,Putamen_L,0.8222
Cingulum_Mid_R,Parietal_Inf_L,0.8219
Parietal_Inf_L,Angular_L,0.8218
Frontal_Sup_Medial_L,Cingulum_Mid_R,0.8148
Cingulum_Mid_R,Parietal_Sup_L,0.8127
Frontal_Mid_R,Postcentral_R,0.8124
Precentral_R,Frontal_Sup_L,0.8124
Precentral_R,Parietal_Inf_L,0.8122
Postcentral_L,Parietal_Inf_R,0.8112
Cingulum_Mid_L,Cingulum_Post_R,0.8108
Frontal_Sup_Medial_R,Cingulum_Mid_R,0.8091
Frontal_Inf_Oper_R,Frontal_Sup_Medial_L,0.8083
Frontal_Inf_Oper_L,Frontal_Inf_Tri_R,0.8083
Cingulum_Post_L,Postcentral_L,0.8076
Frontal_Inf_Oper_L,Insula_L,0.8063
Parietal_Inf_L,SupraMarginal_L,0.8046
Cingulum_Post_L,Parietal_Inf_L,0.8026
Parietal_Sup_L,Paracentral_Lobule_L,0.8009
Cuneus_L,Cuneus_R,0.7981
Frontal_Mid_L,Frontal_Sup_Medial_L,0.7979
Frontal_Inf_Oper_R,Frontal_Sup_Medial_R,0.7954
Frontal_Mid_L,Frontal_Sup_Medial_R,0.7944
Frontal_Sup_R,Postcentral_L,0.7936
Frontal_Sup_Medial_R,Cingulum_Ant_L,0.7929
Supp_Motor_Area_R,Frontal_Sup_Medial_R,0.7908
Calcarine_R,Lingual_R,0.7901
Supp_Motor_Area_R,Frontal_Sup_Medial_L,0.7875
SupraMarginal_R,Angular_R,0.783
Supp_Motor_Area_L,Frontal_Sup_Medial_R,0.7828
Precentral_R,Parietal_Inf_R,0.7821
Frontal_Mid_R,Frontal_Inf_Tri_R,0.7808
Precentral_L,Cingulum_Post_R,0.7797
Frontal_Sup_Medial_L,Cingulum_Mid_L,0.7793
Cingulum_Post_L,Postcentral_R,0.779
Cingulum_Post_L,Parietal_Sup_L,0.7777
Precentral_L,Frontal_Sup_Medial_L,0.7776
Precentral_R,Cingulum_Post_R,0.7774
Precentral_R,Frontal_Sup_Medial_R,0.7746
Cingulum_Post_R,Postcentral_L,0.7741
Frontal_Inf_Oper_L,Postcentral_L,0.7738
Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,0.7734
Frontal_Inf_Oper_R,Postcentral_L,0.769
Putamen_L,Putamen_R,0.7675
Precentral_R,Parietal_Sup_L,0.7651
Cingulum_Mid_R,Parietal_Inf_R,0.7642
Postcentral_L,Parietal_Sup_R,0.7623
Frontal_Sup_Medial_R,Cingulum_Mid_L,0.7621
Frontal_Inf_Oper_L,Frontal_Sup_Medial_L,0.7616
Heschl_L,Temporal_Sup_L,0.7615
Cingulum_Mid_L,Parietal_Inf_R,0.7611
Frontal_Mid_L,Frontal_Inf_Tri_L,0.7596
Precentral_L,Paracentral_Lobule_L,0.7593
Parietal_Sup_R,Angular_R,0.7589
Parietal_Sup_R,Paracentral_Lobule_R,0.7574
Frontal_Sup_Medial_L,Cingulum_Ant_R,0.7567
Angular_R,Precuneus_R,0.7566
Frontal_Inf_Oper_R,Insula_L,0.7561
Precentral_R,Frontal_Sup_Medial_L,0.755
Precentral_L,Frontal_Sup_Medial_R,0.7457
Precentral_L,Parietal_Sup_L,0.7454
Postcentral_L,SupraMarginal_L,0.7446
Frontal_Sup_R,Precuneus_L,0.7441
Cingulum_Mid_R,Parietal_Sup_R,0.7437
Parietal_Inf_L,Paracentral_Lobule_L,0.7419
Precentral_L,Frontal_Inf_Tri_L,0.7406
Supp_Motor_Area_L,Parietal_Inf_L,0.74
Cingulum_Mid_L,Parietal_Sup_R,0.7392
Insula_L,Putamen_R,0.739
Supp_Motor_Area_L,Cingulum_Post_L,0.7383
Frontal_Inf_Oper_R,Cingulum_Mid_R,0.7377
Lingual_L,Lingual_R,0.7377
Frontal_Sup_Medial_L,Postcentral_L,0.7377
Supp_Motor_Area_R,Parietal_Sup_L,0.7372
SupraMarginal_R,Precuneus_R,0.7369
Supp_Motor_Area_R,Cingulum_Post_L,0.7364
Frontal_Mid_L,Frontal_Inf_Oper_R,0.7351
Precentral_R,Frontal_Inf_Tri_R,0.7345
Frontal_Inf_Oper_R,Postcentral_R,0.7317
Frontal_Sup_L,Postcentral_R,0.7314
Frontal_Inf_Oper_R,Cingulum_Mid_L,0.7311
SupraMarginal_R,Precuneus_L,0.7309
Calcarine_L,Cuneus_L,0.7308
Frontal_Sup_R,Precuneus_R,0.7306
Parietal_Inf_L,Paracentral_Lobule_R,0.728
Precentral_L,Paracentral_Lobule_R,0.7263
Precentral_R,Frontal_Inf_Oper_L,0.7261
Frontal_Sup_L,Precuneus_L,0.7254
Frontal_Mid_L,Postcentral_R,0.7251
Frontal_Mid_R,Cingulum_Post_L,0.7244
Cingulum_Post_R,Postcentral_R,0.7243
Calcarine_L,Lingual_L,0.7232
Frontal_Inf_Tri_R,Frontal_Sup_Medial_L,0.7215
Cerebelum_4_5_L,Vermis_4_5,0.7206
Frontal_Mid_R,Precuneus_L,0.7203
Postcentral_L,SupraMarginal_R,0.7178
Precentral_R,Parietal_Sup_R,0.7168
Angular_R,Precuneus_L,0.7166
Lingual_R,Vermis_4_5,0.7159
Occipital_Sup_L,Occipital_Mid_L,0.7136
Frontal_Inf_Tri_L,Frontal_Sup_Medial_L,0.7132
Frontal_Mid_R,Precuneus_R,0.7131
Frontal_Sup_L,Paracentral_Lobule_L,0.713
Parietal_Sup_R,SupraMarginal_R,0.7114
Supp_Motor_Area_R,Parietal_Inf_L,0.711
Insula_L,Cingulum_Ant_L,0.711
Rolandic_Oper_L,Temporal_Sup_L,0.71
Supp_Motor_Area_L,Cingulum_Post_R,0.7093
Frontal_Mid_R,Frontal_Inf_Tri_L,0.7082
Frontal_Inf_Tri_R,Frontal_Sup_Medial_R,0.708
Frontal_Inf_Tri_L,Insula_L,0.7073
Supp_Motor_Area_L,Parietal_Sup_L,0.7066
Parietal_Inf_R,Paracentral_Lobule_R,0.7063
Frontal_Mid_R,Frontal_Inf_Oper_L,0.7049
Frontal_Inf_Oper_R,Insula_R,0.7037
Frontal_Sup_L,Precuneus_R,0.7035
Precentral_L,Frontal_Inf_Tri_R,0.7033
Precentral_R,SupraMarginal_R,0.7024
Frontal_Sup_R,Paracentral_Lobule_L,0.7023
Frontal_Sup_R,Cingulum_Post_L,0.7022
Frontal_Mid_L,Frontal_Inf_Oper_L,0.7017
Supp_Motor_Area_R,Cingulum_Post_R,0.7014
Frontal_Sup_L,Cingulum_Post_L,0.7009
Parietal_Sup_R,Paracentral_Lobule_L,0.6999
Cingulum_Post_L,Parietal_Inf_R,0.6992
Frontal_Sup_Medial_R,Postcentral_R,0.6986
Cingulum_Post_L,Parietal_Sup_R,0.6963
Hippocampus_L,ParaHippocampal_L,0.6957
Rolandic_Oper_L,Insula_R,0.6957
Frontal_Mid_L,Precuneus_R,0.6937
Frontal_Inf_Oper_R,Cingulum_Post_L,0.6922
Frontal_Mid_L,Precuneus_L,0.6911
Caudate_R,Putamen_R,0.6902
Frontal_Med_Orb_L,Frontal_Med_Orb_R,0.6889
Insula_L,Cingulum_Ant_R,0.6882
Precentral_L,Parietal_Inf_R,0.6872
Frontal_Mid_L,Cingulum_Post_L,0.6865
Cingulum_Post_R,Parietal_Inf_L,0.686
Rolandic_Oper_L,Putamen_L,0.6851
Angular_L,Precuneus_R,0.6848
Frontal_Sup_Medial_R,Insula_L,0.6833
Frontal_Inf_Oper_L,Frontal_Sup_Medial_R,0.6831
Frontal_Sup_R,Paracentral_Lobule_R,0.6822
Parietal_Sup_L,Angular_L,0.6819
Cingulum_Post_R,Parietal_Sup_L,0.681
Supp_Motor_Area_R,Parietal_Inf_R,0.6805
Frontal_Sup_Medial_R,Postcentral_L,0.6761
Frontal_Sup_R,Cingulum_Post_R,0.6743
Parietal_Inf_R,Paracentral_Lobule_L,0.6742
Frontal_Sup_Medial_L,Insula_L,0.6738
Supp_Motor_Area_L,Parietal_Inf_R,0.6731
Supp_Motor_Area_R,Parietal_Sup_R,0.6717
Frontal_Sup_Orb_L,Frontal_Med_Orb_L,0.6716
Frontal_Sup_Medial_L,Cingulum_Post_R,0.6713
Insula_R,Cingulum_Ant_L,0.6699
Frontal_Inf_Oper_R,Cingulum_Post_R,0.6688
Parietal_Inf_L,SupraMarginal_R,0.6686
Putamen_L,Pallidum_L,0.6682
Frontal_Sup_Orb_L,Frontal_Mid_Orb_L,0.6657
Insula_L,Postcentral_L,0.6644
Frontal_Sup_Medial_L,Cingulum_Post_L,0.6636
Frontal_Mid_R,Cingulum_Post_R,0.663
Frontal_Sup_L,Cingulum_Post_R,0.6625
Cingulum_Mid_R,SupraMarginal_R,0.6624
Frontal_Inf_Oper_R,Supp_Motor_Area_L,0.6613
Frontal_Mid_R,Parietal_Inf_L,0.6601
Frontal_Sup_Medial_L,Postcentral_R,0.6595
Supp_Motor_Area_R,SupraMarginal_R,0.6582
Rolandic_Oper_R,Insula_L,0.657
Parietal_Sup_L,Angular_R,0.6561
Cingulum_Post_L,Paracentral_Lobule_R,0.6556
Frontal_Mid_L,Frontal_Inf_Tri_R,0.6552
Rolandic_Oper_L,SupraMarginal_L,0.6543
Insula_R,Cingulum_Ant_R,0.6538
Precentral_L,Parietal_Sup_R,0.6534
Insula_L,Caudate_R,0.6521
Frontal_Mid_L,Parietal_Inf_L,0.6511
Frontal_Inf_Tri_L,Postcentral_L,0.6499
Rolandic_Oper_L,Postcentral_L,0.6496
Caudate_L,Putamen_L,0.6485
Lingual_L,Cerebelum_4_5_L,0.6474
Calcarine_R,Lingual_L,0.647
Cingulum_Post_L,Paracentral_Lobule_L,0.6459
Frontal_Sup_L,Parietal_Inf_L,0.6442
Frontal_Sup_R,Parietal_Sup_L,0.6438
Frontal_Inf_Oper_R,Caudate_L,0.6419
Frontal_Inf_Oper_R,Supp_Motor_Area_R,0.6409
Hippocampus_L,Thalamus_L,0.6409
Insula_L,Caudate_L,0.6406
Hippocampus_R,ParaHippocampal_R,0.6399
Cingulum_Post_L,Angular_L,0.6399
Cingulum_Post_L,SupraMarginal_R,0.6398
Cingulum_Post_R,Parietal_Inf_R,0.6394
Angular_L,Precuneus_L,0.6394
Frontal_Mid_L,Cingulum_Post_R,0.6393
Heschl_R,Temporal_Sup_R,0.6387
Cingulum_Mid_L,SupraMarginal_R,0.6371
Frontal_Sup_L,Paracentral_Lobule_R,0.6371
Cuneus_R,Occipital_Sup_L,0.637
Frontal_Sup_Medial_R,Cingulum_Post_L,0.6365
Frontal_Inf_Oper_R,Cingulum_Ant_L,0.6363
Precentral_L,SupraMarginal_R,0.6354
Frontal_Sup_Medial_L,Paracentral_Lobule_L,0.635
Calcarine_R,Cuneus_R,0.6334
Parietal_Sup_L,SupraMarginal_R,0.6304
Cingulum_Mid_R,Caudate_L,0.63
Frontal_Mid_L,Paracentral_Lobule_L,0.6299
Supp_Motor_Area_L,Parietal_Sup_R,0.6295
Frontal_Sup_L,Frontal_Inf_Oper_R,0.6295
Cingulum_Post_R,Paracentral_Lobule_R,0.6293
SupraMarginal_L,Angular_L,0.6293
Rolandic_Oper_L,Rolandic_Oper_R,0.6289
Frontal_Mid_R,Parietal_Inf_R,0.6285
Frontal_Sup_Medial_R,Insula_R,0.628
Frontal_Inf_Oper_L,Cingulum_Post_L,0.6277
Cingulum_Post_R,Paracentral_Lobule_L,0.627
Frontal_Sup_Medial_R,Paracentral_Lobule_L,0.6257
Frontal_Sup_L,Parietal_Sup_L,0.6256
Frontal_Sup_Medial_L,Precuneus_L,0.6238
Frontal_Sup_Medial_R,Cingulum_Post_R,0.6238
Frontal_Inf_Tri_R,Insula_L,0.6233
Caudate_L,Caudate_R,0.6225
Supp_Motor_Area_L,SupraMarginal_R,0.6224
Occipital_Mid_L,Angular_L,0.6217
Frontal_Inf_Oper_R,Precuneus_R,0.619
Rolandic_Oper_L,Heschl_L,0.6188
Calcarine_R,Cuneus_L,0.6168
Cingulum_Post_L,Cuneus_L,0.6166
Precentral_R,Frontal_Inf_Tri_L,0.615
Frontal_Inf_Oper_R,Cingulum_Ant_R,0.6143
Frontal_Sup_R,Frontal_Inf_Oper_R,0.6121
Cingulum_Mid_L,Caudate_L,0.612
Frontal_Inf_Oper_L,Cingulum_Mid_R,0.6119
Insula_R,Caudate_R,0.6116
Frontal_Sup_R,Parietal_Inf_L,0.6113
Frontal_Inf_Tri_L,Frontal_Sup_Medial_R,0.6102
Frontal_Inf_Oper_R,Putamen_L,0.6101
Occipital_Sup_R,Angular_R,0.6101
Rolandic_Oper_R,Heschl_R,0.6095
Frontal_Inf_Oper_L,Putamen_L,0.6089
Frontal_Sup_Medial_L,Precuneus_R,0.6087
Cingulum_Post_R,Parietal_Sup_R,0.6082
Frontal_Sup_R,SupraMarginal_R,0.6079
Frontal_Inf_Oper_L,Cingulum_Post_R,0.6067
Frontal_Inf_Tri_R,Postcentral_L,0.6063
Frontal_Inf_Oper_L,Supp_Motor_Area_L,0.6059
SupraMarginal_R,Paracentral_Lobule_R,0.6059
Frontal_Sup_R,Parietal_Inf_R,0.6057
Frontal_Inf_Tri_R,Cingulum_Mid_R,0.6048
Insula_R,SupraMarginal_R,0.6048
Frontal_Inf_Tri_R,Caudate_L,0.6047
Postcentral_R,Angular_R,0.604
Temporal_Sup_L,Temporal_Mid_L,0.604
Cuneus_L,Precuneus_R,0.6035
Frontal_Inf_Oper_L,Cingulum_Mid_L,0.6029
Frontal_Mid_R,Parietal_Sup_L,0.6024
Rolandic_Oper_R,SupraMarginal_R,0.602
Postcentral_R,SupraMarginal_L,0.6017
Cingulum_Post_R,SupraMarginal_R,0.601
Cingulum_Post_L,Thalamus_L,0.6003
Cingulum_Post_L,Calcarine_R,0.6002
Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,0.5999
Frontal_Sup_Medial_R,Precuneus_L,0.5998
Frontal_Mid_R,SupraMarginal_R,0.5992
Frontal_Mid_R,Paracentral_Lobule_R,0.5969
SupraMarginal_L,Temporal_Sup_L,0.5968
Lingual_L,Vermis_4_5,0.5967
SupraMarginal_R,Temporal_Sup_R,0.5956
Frontal_Inf_Oper_R,Precuneus_L,0.595
Frontal_Sup_R,Parietal_Sup_R,0.5942
Frontal_Mid_R,Paracentral_Lobule_L,0.5933
Lingual_R,Cerebelum_4_5_R,0.5931
Frontal_Inf_Oper_L,Rolandic_Oper_L,0.5928
Cingulum_Ant_L,Putamen_L,0.5918
Frontal_Mid_L,Parietal_Sup_L,0.5913
Frontal_Inf_Oper_L,Caudate_L,0.5904
Cuneus_L,Occipital_Sup_R,0.5902
Parietal_Inf_L,Angular_R,0.5898
Frontal_Sup_Medial_R,Precuneus_R,0.5893
Frontal_Sup_Medial_R,Paracentral_Lobule_R,0.5891
Precentral_R,Caudate_L,0.5889
Frontal_Sup_L,Frontal_Inf_Tri_L,0.5883
Cingulum_Post_L,Angular_R,0.5883
Postcentral_L,Caudate_L,0.5879
Frontal_Inf_Oper_L,Parietal_Inf_L,0.5876
Cuneus_L,Precuneus_L,0.5866
Cingulum_Post_R,Thalamus_L,0.5861
Insula_R,Postcentral_R,0.5861
Frontal_Sup_Medial_L,Caudate_L,0.5861
Rolandic_Oper_L,Putamen_R,0.5861
Frontal_Sup_L,Frontal_Inf_Oper_L,0.5846
Postcentral_L,Angular_L,0.5845
Cingulum_Mid_R,Thalamus_L,0.584
Calcarine_L,Lingual_R,0.5839
Frontal_Mid_L,Paracentral_Lobule_R,0.5827
Frontal_Sup_L,Parietal_Inf_R,0.5817
Postcentral_L,Angular_R,0.5815
Precentral_R,Insula_R,0.5794
Calcarine_L,Cuneus_R,0.5791
Precentral_L,Insula_L,0.5791
Insula_R,Caudate_L,0.5789
Hippocampus_R,Thalamus_R,0.5784
Frontal_Inf_Tri_R,Insula_R,0.5782
Precentral_R,Insula_L,0.5781
SupraMarginal_L,Thalamus_L,0.5777
Cingulum_Mid_R,Thalamus_R,0.5776
Cingulum_Post_R,Thalamus_R,0.5775
SupraMarginal_L,Precuneus_R,0.5773
Supp_Motor_Area_L,SupraMarginal_L,0.5769
SupraMarginal_R,Paracentral_Lobule_L,0.5767
Parietal_Inf_L,Thalamus_L,0.576
Cingulum_Mid_L,Thalamus_L,0.5751
Cuneus_L,Angular_R,0.5747
Occipital_Sup_L,Occipital_Sup_R,0.5741
Rolandic_Oper_L,Cingulum_Ant_L,0.5737
Insula_R,Calcarine_R,0.5737
Cingulum_Post_R,Calcarine_R,0.5731
Frontal_Sup_Medial_L,Paracentral_Lobule_R,0.5721
Frontal_Inf_Oper_R,SupraMarginal_R,0.5721
Cingulum_Post_L,Calcarine_L,0.5719
Frontal_Mid_R,Parietal_Sup_R,0.5711
Cerebelum_4_5_R,Vermis_4_5,0.5711
Precentral_L,Caudate_L,0.5707
Lingual_R,Cerebelum_4_5_L,0.5701
Frontal_Inf_Tri_R,Postcentral_R,0.5701
Cuneus_L,Occipital_Mid_L,0.5691
Frontal_Sup_Orb_R,Frontal_Med_Orb_R,0.569
Insula_L,Temporal_Sup_L,0.5688
Cingulum_Post_L,SupraMarginal_L,0.568
Calcarine_L,Occipital_Sup_L,0.5679
Frontal_Sup_Medial_L,Parietal_Inf_L,0.5668
Cingulum_Mid_L,SupraMarginal_L,0.5666
Cingulum_Post_R,Angular_R,0.5666
Insula_L,Calcarine_R,0.5656
Rolandic_Oper_R,Putamen_R,0.5653
Cuneus_R,Precuneus_R,0.5653
Precentral_R,SupraMarginal_L,0.5644
Cingulum_Post_R,Angular_L,0.5643
Hippocampus_L,Hippocampus_R,0.5638
Occipital_Sup_L,Angular_L,0.5637
Precentral_R,Angular_R,0.5636
Precentral_L,SupraMarginal_L,0.5626
Cingulum_Ant_R,Putamen_L,0.5622
Cingulum_Ant_L,Caudate_L,0.5618
Rolandic_Oper_R,Putamen_L,0.5609
Lingual_L,Fusiform_L,0.5607
Frontal_Inf_Oper_R,Parietal_Inf_R,0.5596
Frontal_Inf_Tri_R,Cingulum_Mid_L,0.5582
Frontal_Inf_Oper_L,Cingulum_Ant_R,0.5581
Frontal_Sup_Medial_R,Putamen_L,0.5579
Frontal_Inf_Oper_L,Postcentral_R,0.5572
Frontal_Inf_Oper_R,Parietal_Inf_L,0.5566
Precuneus_R,Thalamus_L,0.5561
Cerebelum_3_R,Vermis_3,0.5555
Frontal_Inf_Tri_L,Supp_Motor_Area_L,0.5549
Frontal_Inf_Oper_L,Cingulum_Ant_L,0.5548
Frontal_Sup_R,Cingulum_Ant_R,0.5548
Insula_R,Postcentral_L,0.5539
Frontal_Sup_L,Parietal_Sup_R,0.5538
Frontal_Sup_R,Cingulum_Ant_L,0.5537
Calcarine_R,Vermis_4_5,0.5535
Cingulum_Ant_L,Cingulum_Mid_R,0.5534
Vermis_3,Vermis_4_5,0.5532
Frontal_Mid_L,Parietal_Inf_R,0.5523
Cingulum_Mid_R,Angular_L,0.552
SupraMarginal_L,Precuneus_L,0.552
Frontal_Inf_Tri_R,Cingulum_Post_R,0.5519
Insula_L,Cingulum_Mid_L,0.551
Frontal_Inf_Oper_R,Paracentral_Lobule_L,0.5506
Cingulum_Mid_L,Thalamus_R,0.5505
Frontal_Inf_Tri_R,Cingulum_Ant_R,0.5498
Frontal_Sup_Medial_R,Caudate_L,0.5486
Frontal_Inf_Tri_R,Cingulum_Ant_L,0.5485
Insula_L,Cingulum_Mid_R,0.5484
Cingulum_Post_L,Thalamus_R,0.5482
