Region,Sub_Mean_Residual,Diag_Mean_Residual,Residual_Diff,P_Value,P_Value_FDR,Significant_FDR,Effect_Size
Vermis_8,0.4931974226964016,-0.37525890857334887,-0.8684563312697504,0.28560111689082757,0.9598331592172795,False,-0.13975155279503104
Hippocampus_R,2.282054573016361,-1.7363458707733295,-4.018400443789691,0.28776823001550034,0.9598331592172795,False,-0.13913043478260878
Vermis_7,0.6219295867588528,-0.4732072942730403,-1.095136881031893,0.2921053905677977,0.9598331592172795,False,-0.13788819875776404
Cerebelum_9_R,-0.14437848566293135,0.1098531956131,0.25423168127603135,0.29870291089224066,0.9598331592172795,False,-0.1360248447204968
Frontal_Sup_L,1.5780093726406632,-1.20065930527008,-2.7786686779107432,0.30993390079285665,0.9598331592172795,False,-0.13291925465838506
Temporal_Pole_Mid_R,1.755404752797697,-1.335634051041728,-3.091038803839425,0.3122081585286698,0.9598331592172795,False,-0.1322981366459628
Temporal_Sup_L,2.1442691861126617,-1.6315091633465972,-3.7757783494592587,0.33798343653226304,0.9598331592172795,False,-0.1254658385093168
Frontal_Mid_Orb_R,0.9468931223507541,-0.7204621583103582,-1.6673552806611123,0.3476847896454983,0.9598331592172795,False,-0.12298136645962732
Heschl_L,1.5803476635544347,-1.202438439660986,-2.782786103215421,0.36256531335921593,0.9598331592172795,False,-0.11925465838509308
Cingulum_Ant_R,1.8765677402484102,-1.4278232806237907,-3.3043910208722007,0.36256531335921593,0.9598331592172795,False,-0.11925465838509308
Putamen_R,1.946365600021399,-1.4809303478423608,-3.42729594786376,0.37270389657399317,0.9598331592172795,False,-0.11677018633540381
Temporal_Mid_L,1.0483481018421148,-0.7976561644450867,-1.8460042662872014,0.38301627719695197,0.9598331592172795,False,-0.11428571428571432
Frontal_Med_Orb_L,1.3997964708200514,-1.0650625321456908,-2.464859002965742,0.38301627719695197,0.9598331592172795,False,-0.11428571428571432
Cerebelum_7b_R,0.01793271586069299,-0.013644457720092477,-0.03157717358078547,0.401467923845815,0.9598331592172795,False,0.10993788819875772
Cerebelum_7b_L,0.01548764988018715,-0.011784081430577189,-0.02727173131076434,0.4068394387374342,0.9598331592172795,False,0.10869565217391308
Frontal_Mid_L,1.252323416359873,-0.952854773317305,-2.205178189677178,0.40955177523527464,0.9598331592172795,False,-0.1080745341614906
Frontal_Inf_Tri_L,1.8053310854291869,-1.3736214780439453,-3.178952563473132,0.41498716247939393,0.9598331592172795,False,-0.10683229813664585
Occipital_Mid_R,-0.2615071294976679,0.19897281592213978,0.4604799454198077,0.42321708291337423,0.9598331592172795,False,0.10496894409937885
Cerebelum_Crus2_R,-0.022879509737000685,0.01740832262597869,0.04028783236297938,0.4399582978479828,0.9598331592172795,False,-0.10124223602484461
Frontal_Mid_R,1.3343519510741133,-1.0152677888607418,-2.3496197399348553,0.44279662911119,0.9598331592172795,False,-0.10062111801242235
Fusiform_L,1.0726381185134553,-0.8161376988689435,-1.8887758173823987,0.44848370546375016,0.9598331592172795,False,-0.0993788819875776
Occipital_Sup_R,-0.9227040866856673,0.702057457260839,1.6247615439465064,0.45421202616912215,0.9598331592172795,False,0.09813664596273297
Insula_R,1.4942311289387635,-1.1369149894099346,-2.631146118348698,0.45421202616912215,0.9598331592172795,False,-0.09813664596273286
Occipital_Sup_L,-1.1233441870808532,0.8547184032136979,1.978062590294551,0.4599813659176635,0.9598331592172795,False,0.09689440993788823
Rolandic_Oper_R,1.3440832904857907,-1.0226720688478907,-2.3667553593336814,0.46579149030316724,0.9598331592172795,False,-0.09565217391304337
ParaHippocampal_R,1.3428897903151242,-1.0217639708919402,-2.364653761207064,0.47164215582228386,0.9598331592172795,False,-0.09440993788819885
Rectus_R,1.910722297773747,-1.4538104439582853,-3.3645327417320323,0.5137096043286462,0.9836193465147904,False,-0.08571428571428563
Cuneus_L,-1.1693622289335188,0.8897321307102893,2.059094359643808,0.5198747435927427,0.9836193465147904,False,0.084472049689441
ParaHippocampal_L,1.2834014454381812,-0.9765010997899183,-2.2599025452280994,0.5323185137336572,0.9836193465147904,False,-0.08198757763975162
Cingulum_Ant_L,1.3376919173447512,-1.0178090675449205,-2.3555009848896717,0.5385964681943269,0.9836193465147904,False,-0.08074534161490687
Thalamus_R,1.006842242549835,-0.766075619331397,-1.7729178618812318,0.5449113365434575,0.9836193465147904,False,-0.07950310559006213
Angular_R,-1.3063576421082863,0.9939677711693499,2.300325413277636,0.5449113365434575,0.9836193465147904,False,0.07950310559006213
Angular_L,-0.30851421521935063,0.23473907679733222,0.5432532920166828,0.5705326121782555,0.9836193465147904,False,0.07453416149068326
Occipital_Mid_L,-0.2206712326300009,0.16790202482717428,0.3885732574571752,0.5770264714770392,0.9836193465147904,False,0.07329192546583851
Vermis_6,2.813247174452664,-2.1405141544748534,-4.953761328927517,0.5802842720763117,0.9836193465147904,False,-0.07267080745341614
Putamen_L,1.1330105641604404,-0.8620732553394528,-1.9950838194998932,0.5835549527736807,0.9836193465147904,False,-0.07204968944099388
Occipital_Inf_R,0.5777931349768004,-0.43962521139539196,-1.0174183463721924,0.6033439672194636,0.9836193465147904,False,0.06832298136645965
Cerebelum_3_R,0.47062248323784,-0.3580823242027069,-0.828704807440547,0.6033439672194636,0.9836193465147904,False,-0.06832298136645965
Cuneus_R,-0.3635054624138528,0.2765802431409701,0.6400857055548228,0.6234292496465386,0.9836193465147904,False,0.06459627329192552
Calcarine_L,-0.7639325766408539,0.5812530474441239,1.3451856240849778,0.6234292496465386,0.9836193465147904,False,0.06459627329192552
Cerebelum_8_R,0.31921872814710056,-0.24288381489453295,-0.5621025430416335,0.626796966224354,0.9836193465147904,False,-0.06397515527950315
SupraMarginal_L,1.06556032185603,-0.8107524188035036,-1.8763127406595335,0.6369780166641172,0.9836193465147904,False,-0.06211180124223592
Frontal_Sup_Orb_L,0.8423898117062517,-0.6409487697764994,-1.483338581482751,0.6506492505926798,0.9836193465147904,False,-0.05962732919254665
Calcarine_R,-0.977601186431143,0.7438269896758768,1.7214281761070198,0.6923580800091458,0.9836193465147904,False,0.05217391304347829
Insula_L,1.0002426318607893,-0.7610541764158077,-1.761296808276597,0.6994055041111953,0.9836193465147904,False,-0.05093167701863344
Parietal_Sup_R,-0.7388149961252017,0.5621418448778764,1.300956841003078,0.7064789192302466,0.9836193465147904,False,0.0496894409937888
Occipital_Inf_L,0.1257602192751651,-0.09568712336153931,-0.2214473426367044,0.7135777759443189,0.9836193465147904,False,-0.04844720496894417
Olfactory_L,1.3716949496919923,-1.0436809399830365,-2.415375889675029,0.7207015182221593,0.9836193465147904,False,-0.047204968944099424
Parietal_Inf_R,-0.5984079912816651,0.4553104281490946,1.0537184194307598,0.7207015182221593,0.9836193465147904,False,0.047204968944099424
Rolandic_Oper_L,0.8176127019784906,-0.6220966210705956,-1.4397093230490863,0.7278495835516547,0.9836193465147904,False,-0.04596273291925468
Paracentral_Lobule_L,0.62314039466123,-0.47412856115528007,-1.09726895581651,0.7278495835516547,0.9836193465147904,False,-0.04596273291925468
Paracentral_Lobule_R,0.6028222782478874,-0.45866912475383137,-1.0614914030017188,0.7350214030710542,0.9836193465147904,False,-0.044720496894409933
Precuneus_R,0.5706122322815554,-0.4341614810837905,-1.004773713365346,0.7422164017029504,0.9836193465147904,False,-0.04347826086956519
Precuneus_L,0.5107130765772894,-0.38858603652620277,-0.8992991131034922,0.7494339982909721,0.9836193465147904,False,-0.04223602484472044
Cerebelum_3_L,0.5229571502495205,-0.3979021795376802,-0.9208593297872008,0.756673605739129,0.9836193465147904,False,-0.0409937888198757
Frontal_Sup_Medial_L,0.5629688350892658,-0.4283458527853096,-0.9913146878745753,0.771216475988023,0.9836193465147904,False,-0.03850931677018643
Heschl_R,0.6341193596692791,-0.482482121487496,-1.116601481156775,0.7931808598459013,0.9836193465147904,False,-0.034782608695652195
Frontal_Sup_R,0.6209661060404972,-0.47247421111776633,-1.0934403171582634,0.8005398890213533,0.9836193465147904,False,-0.03354037267080745
Vermis_3,0.8368153708533937,-0.6367073473884601,-1.473522718241854,0.8227209374784461,0.9836193465147904,False,-0.029813664596273215
Frontal_Inf_Tri_R,0.539410725644075,-0.4104212042944067,-0.9498319299384816,0.8227209374784461,0.9836193465147904,False,-0.029813664596273215
Cingulum_Mid_R,0.325231457656461,-0.24745871778207984,-0.5726901754385408,0.8301471611961256,0.9836193465147904,False,-0.02857142857142847
Fusiform_R,0.2814088094853099,-0.21411539852143305,-0.4955242080067429,0.8301471611961256,0.9836193465147904,False,-0.02857142857142847
Parietal_Sup_L,-0.26085107298182075,0.19847364248616706,0.4593247154679878,0.8525144607400934,0.9836193465147904,False,0.024844720496894457
Cerebelum_4_5_L,0.26388650202952135,-0.20078320806594493,-0.4646697100954663,0.8525144607400934,0.9836193465147904,False,-0.024844720496894457
SupraMarginal_R,-0.4555314121677106,0.3465999875189042,0.8021313996866148,0.8599976017916776,0.9836193465147904,False,0.023602484472049712
Supp_Motor_Area_R,0.26200009154531706,-0.19934789574099546,-0.46134798728631254,0.8599976017916776,0.9836193465147904,False,-0.023602484472049712
Frontal_Inf_Oper_R,-0.557802310312835,0.42441480132498277,0.9822171116378178,0.8674933367096981,0.9836193465147904,False,0.022360248447204967
Frontal_Inf_Oper_L,0.35009659563656914,-0.26637784450608576,-0.616474440142655,0.8750010042515137,0.9836193465147904,False,-0.02111801242236022
Lingual_R,-0.5223233074007325,0.39741990780490516,0.9197432152056377,0.8750010042515137,0.9836193465147904,False,0.02111801242236022
Precentral_R,-0.19040469069988464,0.14487313422817472,0.33527782492805935,0.8825199399509862,0.9836193465147904,False,0.019875776397515477
Cingulum_Mid_L,0.09147360908110187,-0.0695994851704046,-0.16107309425150645,0.8900494762948143,0.9836193465147904,False,-0.01863354037267073
Vermis_4_5,0.6362238630015834,-0.48408337402293844,-1.1203072370245217,0.8900494762948143,0.9836193465147904,False,-0.01863354037267073
Frontal_Sup_Medial_R,-0.1610442479736998,0.12253366693650823,0.283577914910208,0.9051376666940655,0.9836193465147904,False,0.016149068322981353
Precentral_L,0.13895012677181273,-0.10572292254377905,-0.24467304931559178,0.9126949720928413,0.9836193465147904,False,-0.014906832298136719
Cerebelum_4_5_R,0.4573834317387394,-0.3480091328446922,-0.8053925645834317,0.9126949720928413,0.9836193465147904,False,-0.014906832298136719
Rectus_L,-0.4824842458228291,0.3671075783434586,0.8495918241662876,0.9202601811842476,0.9836193465147904,False,0.013664596273291973
Cerebelum_Crus1_R,0.6330397789220463,-0.48166070135373074,-1.114700480275777,0.9354112243820878,0.9836193465147904,False,-0.011180124223602483
Postcentral_L,0.20663873212093073,-0.15722512226593202,-0.36386385438686275,0.9354115882466545,0.9836193465147904,False,-0.011180124223602483
Parietal_Inf_L,0.39445492836922336,-0.3001287498461494,-0.6945836782153727,0.9429964203950227,0.9836193465147904,False,-0.009937888198757738
Cingulum_Post_R,-0.18013022638655748,0.137055607033251,0.3171858334198085,0.9505864249600945,0.9836193465147904,False,0.008695652173912993
Cingulum_Post_L,-0.10510545093343353,0.07997153875370892,0.18507698968714245,0.9505864249600945,0.9836193465147904,False,0.008695652173912993
Postcentral_R,0.17762901739512651,-0.1351525132354197,-0.31278153063054626,0.958180915139408,0.9836193465147904,False,-0.007453416149068248
Temporal_Inf_R,0.18372585119072693,-0.1397914085146834,-0.32351725970541034,0.9809844141375704,0.9895147133909405,False,-0.003726708074534235
Supp_Motor_Area_L,-0.05984982839363186,0.04553791290821221,0.10538774130184406,0.9809844141375704,0.9895147133909405,False,0.003726708074534124
Lingual_L,-0.5009445266001598,0.38115344415229324,0.882097970752453,1.0,1.0,False,0.0
